112,"String manipulation (e.g., yarn or cord)",I tend to use yarn a lot for stimming.,1
113,Meditation,"When I meditate, I like to focus on my breathing while sitting with my eyes closed.",1
114,Vibrating toys,"I use a vibrating toy, such as a fidget spinner or a vibrating bracelet, to stimulate me. It helps me focus and soothes me as well.",1
115,Wearing noise-cancelling headphones,Wearing noise-cancelling headphones,0
116,Using a worry stone,"I use a worry stone which is a smooth, palm-sized stone that I hold between my thumb and index finger and rub gently. I find the repetitive motion of rubbing the stone to be calming and grounding.",1
117,Tapping fingers on surfaces,I tap my fingers on surfaces to create rhythmical patterns that create a sense of calm and relaxation for me,1
118,Counting breaths,Counting breaths,0
119,Swaying,Swaying,1
120,Squeezing hands,I squeeze my hands repeatedly,1
3,Fill color,Fill color,1
121,Stress ball,I use a stress ball that's filled with beans and has many colors on it. It's covered in stretchy fabric that's easy to grasp and manipulate to release pent up energy,1
122,Rubbing soft fabrics,I like to rub soft fabrics between my fingers.,1
123,Playing with hair,Twirling and playing with hair,1
124,Using a fidget toy,Using a fidget toy helps me relax and focus my mind when I am feeling overwhelmed or stressed.,0
125,Flipping pen,I like to flip pens around my fingers whenever I'm overwhelmed or under too much stress,1
126,Spinning in chair,"When I spin in my chair, it helps me to calm down and focus on what I'm doing.",1
127,Playing with slime,Playing with slime,0
128,Chewing on pen caps,I find chewing on pen caps calming and soothing. It helps me focus and reduces my anxiety.,1
129,Rubbing a worry stone,"Rubbing a smooth, flat worry stone with my thumb",1
130,Gardening,"When I am feeling anxious or overwhelmed, I like to go outside and tend to my plants. It helps me to focus and calm down.",1
131,Completing puzzles,"When I am enjoying completing puzzles, I generally rock back and forth or move my hands in a repetitive motion.",1
132,Walking,"When I feel overwhelmed or overstimulated, I like to walk around in circles or pace back and forth. I have a specific route I take and I find it helps me to calm down and refocus.",1
133,Wrist squeezing,Wrist squeezing is a stim where I will squeeze my wrist or apply pressure using an elastic band or bracelet. It provides me with sensory input and helps me calm down or focus on a task.,1
134,Video games,"When I am playing video games, I tend to constantly tap my foot and fidget with my fingers. It helps me concentrate and stay focused.",2
135,Yoga,"When I practice yoga, I tend to do repetitive motions and breathing exercises that help me focus and calm my mind.",0
136,Dancing,I love to dance to my favourite music. It usually involves a lot of movement of my limbs and jumping around.,1
137,Playing piano,Playing piano helps me focus and relax,1
138,Woodworking,"When I am woodworking, I often run my fingers over the different textures and bumps of the wood as I'm sanding or carving it into shape. It's a very tactile and repetitive movement that helps me focus and feel calm.",1
139,Singing,"When I stim with singing, I usually feel a sense of release and sometimes even euphoria. Singing is my go-to stim.",0
140,Swimming,Swimming helps me regulate my body and feel calm. It also gives me a sense of weightlessness which feels really soothing.,1
142,Drawing,"When I'm feeling anxious or overwhelmed, I like to draw shapes and patterns. It helps me focus and calms me down.",0
143,Photography,Looking at and organizing photographs,1
144,Hiking,"When I am hiking, I tend to jump from rock to rock as a way of getting my energy out.",1
145,Journaling,"For my stim, I tend to journal a lot. I write about my thoughts, emotions, and experiences, and it helps me regulate my emotions and feel more in control. ",1
146,Pen clicking,I have a habit of repeatedly clicking my pen throughout the day.,1
147,Foot tapping,I tap my feet rhythmically on the floor when I am anxious or excited.,1
148,Tracing shapes with fingers,I have a stim where I trace shapes with my fingers,1
149,Using stress balls,I use stress balls to relieve stress and anxiety.,1
150,Nail biting,Nail biting is my stimming mechanism. I keep biting my nails to feel calm and focused.,2
151,Rubbing textures,"Rubbing different textures like clothes, bed sheets, textured objects, hair etc",1
152,Stroking soft objects,Stroking soft objects,1
153,Twirling objects,"Twirling objects is a stim where I spin my pen, pencil or any small object between my fingers, it can be very soothing.",1
154,Using fidget toys,"When I am feeling anxious or overwhelmed, I use fidget toys such as a spinner or a stress ball to stim and help me focus on the task at hand.",1
155,Wiggling fingers,I wiggle my fingers by rapidly moving them back and forth horizontally or vertically,1
157,Playing with a necklace or bracelet,Playing with a necklace or bracelet,1
158,Jiggling leg,I jiggle my leg up and down vigorously while seated or standing. It is a constant movement that I engage in when I am focused or under stress.,1
161,Textured clay molding,I love molding textured clay as it provides me with a sensory experience and helps me relax.,1
162,Color mixing meditation,Color mixing meditation is a technique I use where I picture different colored light rays combining in my mind's eye to create new colors,0
163,Finger painting,Finger painting is a great way for me to feel the textures and see the colors blend together as I create something that is unique and beautiful to me.,1
164,Weighted dance movement,"When I'm stressed, I tend to do repetitive dance movements which involve shifting my weight from one leg to the other. It looks like I'm swaying my hips.",1
165,Ambient soundscapes,"To me, ambient soundscapes are a way to ground myself in my surroundings and create a constant background noise that I can rely on. I often listen to them when I need to concentrate, when I am feeling overwhelmed, or when I need to regulate my emotions in a busy environment.",1
166,Digital doodling,"I enjoy digital doodling on my tablet using various drawing software. It involves drawing random shapes, patterns and designs with my stylus until it creates a pattern that I'm happy with.",1
167,Patterned knitting,"When I'm feeling stressed or overwhelmed, I find myself drawn towards patterned knitting. It involves focusing on the repetitive movements of my hands, which helps me calm down and refocus my thoughts.",1
168,Music-driven pacing,"I pace or bounce my body to the rhythm or beat of music that I'm listening to, it helps me concentrate while working on tasks or eases my stress.",1
169,Doodling on skin,I love doodling on my skin when I am feeling overwhelmed or anxious.,1
170,Scripted monologues,"Sometimes when I am feeling overwhelmed or anxious, I find myself scripting complex monologues from my favorite books or movies. It feels like slipping into a familiar world where the words already exist, leaving my mind free to absorb and process my emotions. However, there are times when I catch myself scripting in inappropriate situations, which can lead to embarrassment or discomfort. Overall though, I find this stim to be largely positive in my life.",1
171,Guitar string plucking,I frequently pluck guitar strings to create music.,1
172,Reciting poetry,Reciting poetry helps me re-center myself and manage my emotions effectively.,1
173,Flour kneading,I use flour kneading as a stim by repetitively folding and pressing the dough,1
174,Vocal warm-ups,"I have a specific pitch that I hum repeatedly, sometimes varying it with a gentle vibrato.",1
175,Fabric stroking,Fabric stroking is one of my primary stims. I love rubbing my hands over different textures and fabrics as it fills me with a sense of calm and comfort.,0
176,Ink brush strokes,I use an ink brush to stim regularly by making brush strokes on a paper surface,1
177,Pottery wheel spinning,I enjoy spinning the pottery wheel to create structures and patterns,1
178,Flowing dance movements,"When I'm excited or overwhelmed, I tend to do flowing dance movements which involve gentle swaying of my body and rhythmic arm movements.",1
179,Soil sifting,Soil sifting involves running soil through fingers or a sieve to feel the texture.,1
180,Palette knife painting,I like to use a palette knife for painting as it provides a tactile sensation and allows me to explore different textures in my artwork.,1
181,Sensory sculpting,Sensory sculpting involves creating shapes with playdough or putty to regulate sensory input,1
182,Nature photography,"I love scrolling through nature photography pictures and saving them in my folder, it's a calming experience for me.",1
183,Piano improv,I play a melody on the piano and allow my fingers to continue flowing on the keys. I love the sound and the feeling of playing the piano which puts me in a state of ease.,1
185,Textile manipulation,"I like to touch and roll textured fabrics between my fingers, and rub the seams of the shirt when I get anxious.",1
186,Freestyle dance,Freestyle dance involves moving your body in a fluid motion to music,1
188,Aromatic cooking,"When I'm feeling overwhelmed, I like to inhale the aroma of spices as they're cooking. It's soothing and helps me relax.",1
189,Violin string harmonics,"I like to pluck the harmonics on the A string, producing a high-pitched, bell-like sound",1
190,Macro photography,"When I'm feeling anxious or overwhelmed, I tend to take out my camera and start taking macro photographs. I love focusing on the smallest details of things such as flowers, insects, or everyday objects. It brings me a sense of calm and helps me stay present in the moment.",1
191,Spinning coins,Spinning coins is one of my stims as I love watching the coin spin for a long time.,1
192,Creating patterns with eraser shavings,Creating patterns with eraser shavings,1
193,Folding origami,I enjoy folding origami as a way of stimming,1
194,Inventing handshakes,I like to invent and practice unique handshakes,0
195,Painting with fingers,"I love to paint with my fingers, I find it very soothing and a great way to release my energy.",1
196,Doodling with a stylus pen,"I enjoy doodling shapes and patterns with a stylus pen, it helps me calm down and focus my thoughts.",1
197,Creating sculptures with pipe cleaners,"I love creating sculptures with pipe cleaners, it's a tactile and calming activity that helps me relax and focus my mind.",1
198,Tapping on different surfaces to make sounds,Tapping on different surfaces to make sounds,1
199,Pressing piano keys softly,"When I am feeling overwhelmed, I like to press piano keys softly as a stimming mechanism.",1
200,Colorful rubber band twirling,I twirl a colorful rubber band between my fingers,1
201,Sketching shapes in the air,"When I am stimming, I often sketch shapes in the air.",1
202,Strumming guitar strings,Strumming guitar strings,1
203,Rearranging objects to make patterns,Rearranging objects like rocks or paperclips to create patterns,0
204,Layering sounds with a music app,"I layer different sounds on my music app, such as nature sounds or white noise",1
205,Playing with magnetic putty,I like to manipulate magnets and magnetic putty in my hands while I work on tasks or relax.,1
206,Knitting patterns,"I usually knit by moving my hands quickly in a rhythmic manner, the sound and feeling of the knitting needles and yarn helps me to focus and feel relaxed",1
207,Experimenting with 3D pen,My stim involves using a 3D pen to create intricate designs and shapes.,1
208,Creating custom fidget spinners,"I like to spin fidget toys, especially custom made fidget spinners which I design and create myself using 3D printing",1
209,Creating shapes with hands,Creating shapes with hands,1
210,Playing with kinetic sand,"I enjoy manipulating kinetic sand with my hands, feeling the grains through my fingertips and molding them into different shapes.",1
211,Humming self-composed tunes,I hum self-composed tunes to keep myself calm and focused during times of stress.,1
212,Braiding strings or yarn,I like to braid strings or yarn together with my fingers while I watch TV or think deeply about something,1
213,Tapping drumsticks on surfaces,"I tap the drumsticks rhythmically on different surfaces, sometimes in a particular pattern.",1
214,Sketching with different pen tips,I like to sketch with different pen tips because it gives me a sensory experience that helps me relax and focus. I enjoy the feel of each pen tip's unique texture and it's interesting to see how they affect the lines I draw.,1
215,Creating patterns with stickers,I like to stick stickers on different surfaces creating colorful patterns.,1
216,Threading beads,I like to thread beads in a repetitive motion with my fingers,1
217,Sewing different fabrics together,"When I'm feeling anxious, I like to do some hand-sewing with different fabrics. It helps me focus and feel more grounded.",1
218,Creating intricate pottery designs,Creating intricate pottery designs,1
219,Folding and arranging textiles,I like to fold and arrange textiles to feel the texture and the shapes of the fabrics,1
220,Plucking violin strings,Plucking violin strings,1
221,Creating photo collages,I often rearrange photos in a collage format using photo editing apps.,1
222,Inventing unique pen grips,"I often twist my pen around my fingers in a unique way, it's hard to describe but it's almost like I'm playing with a Rubik's cube while writing.",1
223,Juggling small objects,Juggling small objects,1
224,Shaping clay figures,Shaping clay figures,1
225,Blowing air into the flute,Blowing air into the flute,1
226,Drawing in the air with a laser pointer,Drawing in the air with a laser pointer,1
227,Creating intricate hand signs,Creating intricate hand signs,0
228,Tapping piano keys rhythmically,I enjoy rhythmically tapping piano keys as a form of stimming.,1
229,Experimenting with dance moves,"I like to experiment with different dance moves, it makes me happy and helps me relax.",1
230,Manipulating putty or slime,"I enjoy manipulating putty or slime by squeezing it, stretching it, or just holding it in my hands.",1
231,Painting with watercolors,"When I paint with watercolors, I love the way the colors blend and flow together on the paper. It's very soothing for me and helps me focus when I'm feeling overwhelmed or anxious.",1
232,Creating harmonies by humming,"When I'm feeling happy or excited, I usually hum tunes and create harmonies to them.",1
233,Playing with textured fabrics,"When I am stimming using textured fabrics, I tend to rub the fabric between my fingers gently while also feeling the texture of the fabric. ",0
234,Twisting pipe cleaners into shapes,Twisting pipe cleaners into various shapes,1
235,Plucking guitar strings softly,Plucking guitar strings softly,1
236,Sketching with charcoal,"When I am sketching with charcoal, I feel a sense of control and calmness. Charcoal has a rough texture which feels good to touch and its dark black color is soothing to me. While sketching, I do this repetitive motion which helps me to focus on the task at hand.",1
237,Manipulating small objects for photography,"When I'm taking pictures, I like to fiddle with small objects in my pocket, like coins or a stress ball.",1
238,Creating patterns with light and shadows,I like to create patterns with light and shadows by shining light through my window blinds and playing with the shapes with my hands.,1
239,Tap dancing with fingers,I tap my fingers on any hard surface in a rhythmic pattern,1
240,Creating rhythmic beats on surfaces,I drum my fingers on surfaces to create rhythmic beats regularly,1
242,Playing with marbles or small balls,"For me, playing with marbles is a way to stimulate my senses and feel comforted. It helps me relax and focus. ",1
243,Singing in different voices,"I like to sing in different voices, it helps me feel calm and regulated",1
244,Pressing piano keys in patterns,Pressing piano keys in patterns,1
245,Painting with different brushes,I like to switch between different paintbrushes when painting. It keeps my hands occupied and helps me concentrate. It's also fun to experiment with different brushes and stroke techniques!,1
246,Creating shapes with shadows,"When I am feeling overwhelmed or anxious, I like to make shapes with my hands and play with the shadows they create.",1
247,Shaping clay with tools,I like to shape and mold clay with tools like a knife or a rolling pin,1
248,Writing with a calligraphy pen,Writing letters or patterns with a calligraphy pen.,1
249,Taking macro photos of textures,Taking macro photos of textures,1
250,Strumming guitar gently,Strumming guitar gently,1
251,Doodling with various colors,Doodling with various colors,1
252,Singing in a whisper,I tend to sing in a whispering tone while shaking my leg,1
253,Playing with bouncy balls,I enjoy playing with bouncy balls as a stim.,1
254,Writing with different fonts,I like to write with different fonts,1
255,Painting with a palette knife,Using a palette knife to paint can be very satisfying for me as I love the texture it creates. ,1
256,Playing violin with a mute,Playing violin with a mute,1
258,Singing in a falsetto,I sing in a falsetto to a tone and melody that feels soothing and calming to me.,1
259,Drawing with a digital pen,"When I draw with a digital pen, I feel an urge to move my hand in a repetitive motion. It is often accompanied by a ticking sound from the pen touching the tablet. This helps me focus and eases my anxiety.",1
260,Tapping drumsticks on various objects,Tapping drumsticks on various objects,1
261,Creating visual patterns with light,I use LED toys to create mesmerizing visual patterns,1
262,Wearable fidget jewelry,Wearable fidget jewelry,1
263,Deep pressure vests,Deep pressure vests provide a calming effect to me and help me regulate my senses.,1
264,Aromatherapy diffusers,I often find myself fidgeting with my aromatherapy diffuser by turning it on and off and changing the settings.,1
265,Textured silicone rings,I use textured silicone rings to stim. They're small rings I can fiddle with using my fingers. It creates a tactile stimulation that helps me calm down or focus.,1
266,Weighted blankets,"When I am feeling anxious, I like to use a weighted blanket for sensory input and pressure. It feels like a comforting hug and helps me feel grounded and calm.",1
267,Stress balls,I enjoy using stress balls which includes squeezing them or rolling them in my hands,1
268,Fidget cubes,I like to use fidget cubes to satisfy my sensory needs.,1
269,Mindfulness meditation,"During mindfulness meditation, I focus on my breathing and try to bring my focus to the present. I may also use tactile stimming, such as rubbing my fingers together or tapping my leg.",1
270,Essential oil rollers,I use essential oil rollers to stim by applying them to the insides of my wrists and taking deep inhales. The sensation of the cold rollerball mixed with the calming scent helps me regulate my emotions.,1
271,Handheld massage rollers,I use a handheld massage roller to stim. It has multiple small nodes that press into my skin to provide sensory feedback.,1
272,Noise-canceling headphones,I use my noise-canceling headphones to regulate my sensory input and tune out background noise.,1
273,Tactile putty,I use tactile putty as a stim mechanism. It has a texture that is incredibly satisfying to touch and manipulate.,1
274,Squishy stress toys,I love squishy stress toys because they are soft and satisfying to squish and release repeatedly.,1
275,Fidget spinners,I use fidget spinners to stim by spinning them in my hand or on a surface,1
276,Compression clothing,I wear compression clothing like leggings or socks to help me feel more grounded and regulate my nervous system.,1
277,Chewable jewelry,"When I'm anxious, I like to chew on things, so I wear chewable necklaces which are made of silicone material",2
278,Silicone chew toys,I use silicone chew toys as a stim. It helps me manage my anxiety and regulate my emotions.,2
279,Tangle toys,I twist and turn the tangle toy in my fingers to regulate my senses.,1
280,Kinetic sand,"I enjoy playing with Kinetic sand. It's a moldable and squishy material that smells pleasant, and it provides a good sensory input.",1
281,Worry stones,"When I feel anxious or stressed, I rub my worry stone between my fingers as a form of stimming mechanism.",1
282,Vibrating cushions,I use a vibrating cushion to stimulate my senses,1
283,Resistance bands,I use resistance bands to stretch and apply pressure to my muscles in different ways.,1
284,Beaded bracelets,I use beaded bracelets as a stim. I like to run my fingers over the beads and feel their texture and weight,1
285,Visual stimming apps,I use a visual stimming app that has colorful images and patterns that move around in various ways,1
286,Fidget pad,"I have a fidget pad with buttons and switches, and I enjoy pressing them all in a pattern",0
287,Deep breathing exercises,"When I stim using deep breathing exercises, I inhale deeply through my nose and exhale slowly through my mouth. Sometimes, I count my breaths or imagine the air entering and leaving my lungs. It is calming and helps me regulate my emotions.",1
288,Weighted lap pads,"When I'm anxious or overwhelmed, I tend to use my weighted lap pad as a stim. It has a calming effect on me and helps me relax.",1
289,Finger labyrinths,"Finger labyrinths are small discs or boards with a painted spiral or a maze, and one has to put a finger on it and follow the path from the outside in to the center to complete it.",1
290,Spiky sensory balls,I use spiky sensory balls as a stim which involve tactile stimulation by running my hands over them and squeezing them,1
291,Guided imagery,"I use guided imagery as a stimming mechanism. It involves using my imagination to create a vivid sensory experience, like picturing myself in a calm and peaceful place or imagining positive scenarios.",1
292,Therapeutic swinging,"When I'm feeling overwhelmed or anxious, I like to swing. It provides me with sensory input and I find it extremely calming.",0
293,Progressive muscle relaxation,"I clench and unclench my muscles in a specific pattern, starting from my toes and moving up my body",0
294,Deep pressure therapy,"Deep pressure therapy involves the application of firm and consistent pressure to one’s body using a weighted blanket, vest or lap pad.",1
295,Body sock,"When I use a body sock, it feels like a cozy hug from all around my body. I love the feeling of the fabric against my skin and the pressure that the sock creates.",1
296,Fidget rings,I use fidget rings to stim by spinning the rings on my fingers or rolling them around in my palm.,1
297,Hair pulling,I like to pull strands of hair and feel the texture between my fingertips,2
298,Picking at lips,Picking at my lips is a stim that I regularly engage in. I do it as a way to regulate my anxiety or when I feel nervous. It helps me focus and stay calm.,2
299,Biting the inside of the cheek,Biting the inside of the cheek,2
300,Hitting oneself,Hitting oneself,2
301,Rubbing eyes excessively,Rubbing eyes in a circular motion for a few minutes,2
302,Pressing fingertips into skin,Pressing fingertips into skin,2
303,Twisting hair around fingers,I twist my hair around my fingers for sensory stimulation,1
304,Scratching skin,"When I am stressed or anxious, I tend to scratch my skin, especially around my arms and neck.",2
305,Biting cuticles,Biting cuticles,2
306,Tapping teeth,"When I am feeling overwhelmed, I have a tendency to tap my teeth with the tip of my tongue. It gives me some relief and helps me regulate my emotions.",1
307,Pinching skin,Pinching skin is a stim where I grab some area of my skin in between my fingers and apply pressure by pinching. I typically do this on my arms or thighs.,2
308,Chewing lips,I chew my lips vigorously to reduce anxiety,2
309,Tapping objects against skin,"When I am stimming, I usually tap objects against my skin as a way to self-soothe or calm myself down.",1
310,Biting objects,"When I'm feeling anxious or excited, I often find myself biting objects like pen caps, straws, or even my fingernails.",2
